product_name,amount,sale_date,id
Sea-act Hooks,52.5,2016-08-09,145
Cod-ing in Python,61.5,2016-08-09,146
Sea-act Hooks,53.51,2016-08-11,147
Sea-act Hooks,57.99,2016-08-12,148
Cod-ing in Python,55.19,2016-08-12,149
An Ag-isle Primer,18.99,2016-08-12,150
Sea-act Hooks,54.0,2016-08-13,151
Cod-ing in Python,59.99,2016-08-13,152
Cod-ing in Python,54.5,2016-08-13,153
Sea-act Hooks,59.5,2016-08-14,154
Sea-act Hooks,54.5,2016-08-14,155
Sea-act Hooks,53.56,2016-08-17,156
An Ag-isle Primer,22.46,2016-08-17,157
Sea-act Hooks,53.49,2016-08-20,158
Cod-ing in Python,59.27,2016-08-22,159
Cod-ing in Python,58.5,2016-08-23,160
Sea-act Hooks,57.0,2016-08-25,161
An Ag-isle Primer,19.4,2016-08-25,162
Sea-act Hooks,53.49,2016-08-28,163
Cod-ing in Python,63.0,2016-08-28,164
Sea-act Hooks,55.5,2016-08-29,165
Sea-act Hooks,55.0,2016-08-29,166
Sea-act Hooks,55.5,2016-08-31,167
Sea-act Hooks,57.49,2016-08-31,168
Sea-act Hooks,52.49,2016-08-31,169
Sea-act Hooks,59.81,2016-09-01,170
Sea-act Hooks,54.99,2016-09-01,171
An Ag-isle Primer,17.5,2016-09-01,172
Sea-act Hooks,50.5,2016-09-05,173
Sea-act Hooks,54.5,2016-09-06,174
Sea-act Hooks,49.72,2016-09-06,175
Sea-act Hooks,58.49,2016-09-08,176
Sea-act Hooks,56.99,2016-09-08,177
Sea-act Hooks,56.5,2016-09-10,178
Sea-act Hooks,53.1,2016-09-11,179
Sea-act Hooks,49.0,2016-09-11,180
Sea-act Hooks,55.0,2016-09-12,181
Sea-act Hooks,59.99,2016-09-12,182
Sea-act Hooks,51.99,2016-09-12,183
Cod-ing in Python,59.5,2016-09-12,184
Sea-act Hooks,50.99,2016-09-13,185
Cod-ing in Python,56.0,2016-09-13,186
Sea-act Hooks,55.99,2016-09-17,187
Sea-act Hooks,52.99,2016-09-17,188
An Ag-isle Primer,20.0,2016-09-20,189
Sea-act Hooks,54.49,2016-09-24,190
Sea-act Hooks,57.0,2016-09-27,191
Cod-ing in Python,58.49,2016-09-28,192
Sea-act Hooks,51.5,2016-09-29,193
Cod-ing in Python,59.61,2016-09-29,194
Sea-act Hooks,55.99,2016-09-30,195
Sea-act Hooks,55.0,2016-10-02,196
Sea-act Hooks,55.5,2016-10-02,197
Sea-act Hooks,50.49,2016-10-03,198
Cod-ing in Python,59.99,2016-10-04,199
An Ag-isle Primer,18.0,2016-10-04,200
Sea-act Hooks,53.99,2016-10-05,201
Sea-act Hooks,52.99,2016-10-06,202
Cod-ing in Python,59.99,2016-10-07,203
Sea-act Hooks,52.5,2016-10-10,204
Sea-act Hooks,52.49,2016-10-10,205
Sea-act Hooks,52.38,2016-10-11,206
Sea-act Hooks,54.5,2016-10-12,207
Sea-act Hooks,56.49,2016-10-12,208
Cod-ing in Python,61.5,2016-10-13,209
Sea-act Hooks,51.99,2016-10-14,210
Sea-act Hooks,52.49,2016-10-15,211
Cod-ing in Python,57.99,2016-10-19,212
Sea-act Hooks,56.0,2016-10-20,213
Sea-act Hooks,55.0,2016-10-20,214
An Ag-isle Primer,19.0,2016-10-20,215
Sea-act Hooks,55.0,2016-10-22,216
Sea-act Hooks,52.0,2016-10-22,217
Sea-act Hooks,50.99,2016-10-23,218
Sea-act Hooks,52.35,2016-10-23,219
Sea-act Hooks,55.0,2016-10-23,220
Sea-act Hooks,55.5,2016-10-24,221
Sea-act Hooks,59.0,2016-10-25,222
Cod-ing in Python,55.5,2016-10-25,223
An Ag-isle Primer,18.99,2016-10-25,224
Cod-ing in Python,60.49,2016-10-28,225
Sea-act Hooks,58.37,2016-10-29,226
Sea-act Hooks,55.23,2016-11-01,227
Sea-act Hooks,58.35,2016-11-02,228
Sea-act Hooks,54.99,2016-11-03,229
Sea-act Hooks,56.49,2016-11-05,230
Cod-ing in Python,61.49,2016-11-05,231
An Ag-isle Primer,19.49,2016-11-07,232
Cod-ing in Python,61.49,2016-11-09,233
Cod-ing in Python,55.5,2016-11-11,234
Sea-act Hooks,54.5,2016-11-13,235
Sea-act Hooks,57.06,2016-11-13,236
Cod-ing in Python,58.0,2016-11-14,237
Sea-act Hooks,56.49,2016-11-18,238
Cod-ing in Python,58.5,2016-11-19,239
An Ag-isle Primer,23.0,2016-11-19,240
Sea-act Hooks,53.49,2016-11-22,241
Sea-act Hooks,52.5,2016-11-23,242
Cod-ing in Python,62.49,2016-11-23,243
Sea-act Hooks,53.0,2016-11-24,244
Sea-act Hooks,60.49,2016-11-24,245
Cod-ing in Python,59.58,2016-11-24,246
Sea-act Hooks,53.38,2016-11-25,247
Cod-ing in Python,61.49,2016-11-25,248
Sea-act Hooks,53.5,2016-11-26,249
Cod-ing in Python,59.99,2016-11-26,250
Sea-act Hooks,58.5,2016-11-27,251
Cod-ing in Python,59.5,2016-11-27,252
Sea-act Hooks,60.0,2016-11-28,253
An Ag-isle Primer,20.49,2016-11-28,254
Sea-act Hooks,51.0,2016-11-29,255
Sea-act Hooks,54.5,2016-12-01,256
Cod-ing in Python,59.99,2016-12-01,257
Sea-act Hooks,57.49,2016-12-03,258
An Ag-isle Primer,19.91,2016-12-03,259
Sea-act Hooks,53.0,2016-12-04,260
Sea-act Hooks,53.5,2016-12-06,261
Sea-act Hooks,55.0,2016-12-07,262
Sea-act Hooks,56.0,2016-12-08,263
Sea-act Hooks,55.0,2016-12-08,264
Sea-act Hooks,55.49,2016-12-09,265
Cod-ing in Python,58.0,2016-12-09,266
Sea-act Hooks,52.49,2016-12-10,267
Sea-act Hooks,55.03,2016-12-11,268
Cod-ing in Python,57.5,2016-12-11,269
Sea-act Hooks,55.0,2016-12-12,270
Sea-act Hooks,56.99,2016-12-13,271
Sea-act Hooks,56.49,2016-12-13,272
Sea-act Hooks,52.99,2016-12-14,273
Sea-act Hooks,49.99,2016-12-16,274
Cod-ing in Python,60.0,2016-12-17,275
Cod-ing in Python,60.0,2016-12-17,276
An Ag-isle Primer,23.44,2016-12-17,277
Sea-act Hooks,53.49,2016-12-18,278
Cod-ing in Python,54.99,2016-12-19,279
Sea-act Hooks,53.99,2016-12-20,280
Sea-act Hooks,52.0,2016-12-20,281
An Ag-isle Primer,22.0,2016-12-20,282
Sea-act Hooks,53.0,2016-12-21,283
Sea-act Hooks,53.17,2016-12-21,284
Sea-act Hooks,54.99,2016-12-21,285
Cod-ing in Python,63.99,2016-12-22,286
Cod-ing in Python,57.0,2016-12-23,287
Sea-act Hooks,50.5,2016-12-25,288
Sea-act Hooks,55.99,2016-12-25,289
Sea-act Hooks,53.83,2016-12-26,290
Sea-act Hooks,51.0,2016-12-27,291
Sea-act Hooks,53.16,2016-12-28,292
Sea-act Hooks,57.0,2016-12-28,293
Sea-act Hooks,58.5,2016-12-29,294
Sea-act Hooks,57.82,2016-12-30,295
Sea-act Hooks,53.99,2016-12-30,296
Sea-act Hooks,54.49,2016-12-31,297
Sea-act Hooks,59.5,2016-12-31,298
Sea-act Hooks,55.0,2017-01-05,299
Sea-act Hooks,56.12,2017-01-07,300
Sea-act Hooks,52.49,2017-01-07,301
Sea-act Hooks,54.99,2017-01-08,302
Sea-act Hooks,51.08,2017-01-08,303
Sea-act Hooks,55.0,2017-01-09,304
Sea-act Hooks,56.99,2017-01-10,305
Sea-act Hooks,52.99,2017-01-14,306
Cod-ing in Python,58.49,2017-01-14,307
Sea-act Hooks,56.0,2017-01-19,308
Sea-act Hooks,51.67,2017-01-20,309
Sea-act Hooks,53.0,2017-01-20,310
Sea-act Hooks,52.0,2017-01-24,311
An Ag-isle Primer,16.5,2017-01-24,312
An Ag-isle Primer,22.5,2017-01-25,313
Sea-act Hooks,57.0,2017-01-27,314
Sea-act Hooks,57.99,2017-01-28,315
An Ag-isle Primer,20.99,2017-01-29,316
An Ag-isle Primer,19.49,2017-01-29,317
Sea-act Hooks,56.99,2017-02-01,318
Cod-ing in Python,60.6,2017-02-01,319
Cod-ing in Python,57.49,2017-02-03,320
Cod-ing in Python,60.49,2017-02-04,321
Sea-act Hooks,58.0,2017-02-05,322
Sea-act Hooks,56.5,2017-02-06,323
Sea-act Hooks,53.0,2017-02-07,324
Sea-act Hooks,51.99,2017-02-10,325
Sea-act Hooks,53.99,2017-02-13,326
Cod-ing in Python,60.5,2017-02-15,327
Sea-act Hooks,55.0,2017-02-18,328
Sea-act Hooks,55.99,2017-02-18,329
Sea-act Hooks,55.5,2017-02-19,330
An Ag-isle Primer,18.87,2017-02-19,331
Sea-act Hooks,56.35,2017-02-21,332
Sea-act Hooks,56.99,2017-02-24,333
Sea-act Hooks,55.0,2017-03-02,334
Sea-act Hooks,52.49,2017-03-03,335
Sea-act Hooks,55.02,2017-03-05,336
Sea-act Hooks,53.51,2017-03-07,337
Sea-act Hooks,50.5,2017-03-08,338
Sea-act Hooks,54.0,2017-03-08,339
Sea-act Hooks,54.0,2017-03-09,340
Sea-act Hooks,56.63,2017-03-09,341
Sea-act Hooks,55.0,2017-03-09,342
Cod-ing in Python,56.0,2017-03-10,343
Sea-act Hooks,52.99,2017-03-12,344
Sea-act Hooks,51.77,2017-03-12,345
Cod-ing in Python,61.0,2017-03-14,346
Sea-act Hooks,53.5,2017-03-15,347
Cod-ing in Python,55.85,2017-03-18,348
Sea-act Hooks,55.49,2017-03-20,349
Sea-act Hooks,55.0,2017-03-24,350
Cod-ing in Python,59.5,2017-03-24,351
Sea-act Hooks,56.9,2017-03-29,352
Sea-act Hooks,53.49,2017-03-29,353
Sea-act Hooks,50.0,2017-04-01,354
Sea-act Hooks,56.49,2017-04-03,355
Sea-act Hooks,57.55,2017-04-04,356
Sea-act Hooks,53.53,2017-04-08,357
Sea-act Hooks,54.0,2017-04-08,358
Cod-ing in Python,60.99,2017-04-10,359
Sea-act Hooks,53.0,2017-04-13,360
Cod-ing in Python,57.99,2017-04-14,361
Sea-act Hooks,53.0,2017-04-15,362
Sea-act Hooks,55.5,2017-04-16,363
Sea-act Hooks,55.99,2017-04-18,364
Sea-act Hooks,55.0,2017-04-23,365
Cod-ing in Python,59.98,2017-04-25,366
An Ag-isle Primer,20.3,2017-04-27,367
Sea-act Hooks,51.5,2017-05-01,368
Sea-act Hooks,55.0,2017-05-02,369
Sea-act Hooks,53.5,2017-05-02,370
An Ag-isle Primer,24.5,2017-05-02,371
Sea-act Hooks,58.0,2017-05-03,372
Cod-ing in Python,59.5,2017-05-06,373
Sea-act Hooks,58.41,2017-05-07,374
Sea-act Hooks,57.65,2017-05-09,375
Sea-act Hooks,53.49,2017-05-09,376
Cod-ing in Python,59.5,2017-05-10,377
Sea-act Hooks,53.0,2017-05-12,378
Sea-act Hooks,51.3,2017-05-13,379
Sea-act Hooks,51.5,2017-05-14,380
Sea-act Hooks,54.99,2017-05-20,381
Sea-act Hooks,55.07,2017-05-21,382
Sea-act Hooks,53.99,2017-05-25,383
An Ag-isle Primer,19.5,2017-05-25,384
An Ag-isle Primer,20.49,2017-05-25,385
Cod-ing in Python,61.49,2017-05-28,386
Cod-ing in Python,55.0,2017-05-31,387
Sea-act Hooks,53.5,2017-06-01,388
Cod-ing in Python,55.04,2017-06-01,389
Sea-act Hooks,51.48,2017-06-02,390
An Ag-isle Primer,25.0,2017-06-04,391
An Ag-isle Primer,18.58,2017-06-04,392
Sea-act Hooks,50.99,2017-06-09,393
Sea-act Hooks,55.99,2017-06-10,394
Sea-act Hooks,51.33,2017-06-10,395
Sea-act Hooks,54.5,2017-06-11,396
Sea-act Hooks,54.5,2017-06-15,397
Cod-ing in Python,60.0,2017-06-19,398
Sea-act Hooks,54.5,2017-06-20,399
Sea-act Hooks,53.99,2017-06-20,400
Cod-ing in Python,64.0,2017-06-24,401
Sea-act Hooks,52.5,2017-06-25,402
Sea-act Hooks,53.49,2017-06-25,403
Sea-act Hooks,55.99,2017-06-26,404
Sea-act Hooks,55.63,2017-06-28,405
Cod-ing in Python,59.1,2017-07-01,406
Sea-act Hooks,58.99,2017-07-05,407
Sea-act Hooks,54.5,2017-07-06,408
Cod-ing in Python,60.49,2017-07-06,409
Cod-ing in Python,57.99,2017-07-06,410
Sea-act Hooks,51.5,2017-07-08,411
Cod-ing in Python,58.49,2017-07-09,412
Cod-ing in Python,60.6,2017-07-09,413
Cod-ing in Python,55.5,2017-07-10,414
Sea-act Hooks,58.49,2017-07-11,415
Cod-ing in Python,54.5,2017-07-11,416
Sea-act Hooks,54.0,2017-07-12,417
Sea-act Hooks,60.99,2017-07-15,418
Cod-ing in Python,58.5,2017-07-16,419
Sea-act Hooks,55.49,2017-07-17,420
Sea-act Hooks,56.5,2017-07-18,421
Cod-ing in Python,59.5,2017-07-18,422
Cod-ing in Python,64.5,2017-07-18,423
Sea-act Hooks,55.5,2017-07-21,424
Cod-ing in Python,63.05,2017-07-24,425
Sea-act Hooks,52.63,2017-07-25,426
Sea-act Hooks,54.5,2017-07-26,427
Sea-act Hooks,56.25,2017-07-30,428
Sea-act Hooks,60.0,2017-07-30,429
Sea-act Hooks,58.49,2017-08-02,430
An Ag-isle Primer,18.99,2017-08-04,431
Sea-act Hooks,52.99,2017-08-05,432
Sea-act Hooks,57.5,2017-08-07,433
Sea-act Hooks,54.99,2017-08-08,434
An Ag-isle Primer,17.5,2017-08-08,435
Sea-act Hooks,50.49,2017-08-09,436
Sea-act Hooks,54.0,2017-08-12,437
An Ag-isle Primer,20.99,2017-08-12,438
Sea-act Hooks,54.66,2017-08-13,439
Sea-act Hooks,52.49,2017-08-14,440
Sea-act Hooks,52.41,2017-08-17,441
Sea-act Hooks,53.49,2017-08-17,442
Cod-ing in Python,55.24,2017-08-18,443
Sea-act Hooks,54.49,2017-08-19,444
Sea-act Hooks,54.5,2017-08-21,445
Sea-act Hooks,54.99,2017-08-21,446
Cod-ing in Python,64.46,2017-08-24,447
Sea-act Hooks,53.49,2017-08-26,448
Sea-act Hooks,54.5,2017-08-26,449
Sea-act Hooks,53.04,2017-08-27,450
Sea-act Hooks,53.49,2017-08-30,451
Sea-act Hooks,54.5,2017-08-31,452
Cod-ing in Python,66.0,2017-09-02,453
An Ag-isle Primer,22.0,2017-09-02,454
Cod-ing in Python,60.17,2017-09-03,455
Sea-act Hooks,55.49,2017-09-05,456
Cod-ing in Python,56.25,2017-09-10,457
An Ag-isle Primer,22.99,2017-09-11,458
Sea-act Hooks,51.5,2017-09-12,459
Sea-act Hooks,54.0,2017-09-13,460
An Ag-isle Primer,22.0,2017-09-16,461
Sea-act Hooks,52.0,2017-09-19,462
Sea-act Hooks,56.0,2017-09-21,463
Cod-ing in Python,59.5,2017-09-21,464
Sea-act Hooks,52.99,2017-09-22,465
Sea-act Hooks,58.0,2017-09-25,466
Sea-act Hooks,51.49,2017-09-28,467
Cod-ing in Python,55.88,2017-09-28,468
Sea-act Hooks,57.5,2017-09-30,469
Sea-act Hooks,49.49,2017-10-02,470
Sea-act Hooks,55.5,2017-10-05,471
An Ag-isle Primer,17.0,2017-10-07,472
Sea-act Hooks,51.99,2017-10-08,473
Cod-ing in Python,60.47,2017-10-09,474
Sea-act Hooks,55.99,2017-10-13,475
Sea-act Hooks,55.99,2017-10-17,476
Sea-act Hooks,53.61,2017-10-17,477
Sea-act Hooks,57.0,2017-10-17,478
Sea-act Hooks,56.0,2017-10-18,479
Sea-act Hooks,54.49,2017-10-19,480
Cod-ing in Python,55.99,2017-10-21,481
Cod-ing in Python,55.88,2017-10-28,482
Sea-act Hooks,49.47,2017-10-29,483
Sea-act Hooks,50.99,2017-10-30,484
Cod-ing in Python,56.99,2017-11-04,485
Sea-act Hooks,54.49,2017-11-06,486
Sea-act Hooks,56.81,2017-11-07,487
Sea-act Hooks,50.28,2017-11-07,488
Sea-act Hooks,54.0,2017-11-08,489
Sea-act Hooks,53.76,2017-11-13,490
Cod-ing in Python,58.57,2017-11-13,491
Cod-ing in Python,66.5,2017-11-15,492
Sea-act Hooks,54.49,2017-11-17,493
Sea-act Hooks,54.5,2017-11-18,494
Sea-act Hooks,56.0,2017-11-18,495
Cod-ing in Python,56.49,2017-11-21,496
Sea-act Hooks,57.5,2017-11-22,497
Cod-ing in Python,57.5,2017-11-22,498
Sea-act Hooks,53.0,2017-11-23,499
Sea-act Hooks,51.5,2017-11-24,500
Sea-act Hooks,52.49,2017-11-24,501
Cod-ing in Python,61.0,2017-11-26,502
Sea-act Hooks,55.49,2017-11-27,503
Sea-act Hooks,57.5,2017-12-02,504
Sea-act Hooks,53.0,2017-12-03,505
Sea-act Hooks,55.7,2017-12-03,506
Cod-ing in Python,63.5,2017-12-03,507
Sea-act Hooks,52.07,2017-12-04,508
Cod-ing in Python,57.5,2017-12-05,509
Sea-act Hooks,53.74,2017-12-06,510
Sea-act Hooks,53.0,2017-12-06,511
Cod-ing in Python,58.0,2017-12-06,512
Cod-ing in Python,60.0,2017-12-07,513
Sea-act Hooks,48.99,2017-12-08,514
Cod-ing in Python,60.49,2017-12-09,515
Sea-act Hooks,51.5,2017-12-13,516
Sea-act Hooks,55.99,2017-12-16,517
Cod-ing in Python,62.49,2017-12-17,518
Sea-act Hooks,49.5,2017-12-18,519
Sea-act Hooks,61.0,2017-12-18,520
An Ag-isle Primer,24.49,2017-12-20,521
Sea-act Hooks,53.0,2017-12-21,522
Cod-ing in Python,58.73,2017-12-22,523
Sea-act Hooks,55.99,2017-12-23,524
Sea-act Hooks,53.5,2017-12-25,525
Sea-act Hooks,56.0,2017-12-26,526
Cod-ing in Python,63.0,2017-12-26,527
Sea-act Hooks,56.99,2017-12-28,528
Sea-act Hooks,54.0,2017-12-28,529
An Ag-isle Primer,23.36,2017-12-29,530
Sea-act Hooks,55.99,2017-12-31,531
Sea-act Hooks,57.99,2018-01-01,532
Cod-ing in Python,60.49,2018-01-01,533
Sea-act Hooks,51.0,2018-01-02,534
Sea-act Hooks,51.99,2018-01-06,535
Sea-act Hooks,56.9,2018-01-06,536
Cod-ing in Python,57.5,2018-01-06,537
Sea-act Hooks,56.49,2018-01-07,538
An Ag-isle Primer,16.5,2018-01-09,539
Cod-ing in Python,59.0,2018-01-11,540
Cod-ing in Python,60.04,2018-01-14,541
Cod-ing in Python,59.99,2018-01-18,542
Sea-act Hooks,58.49,2018-01-20,543
Sea-act Hooks,57.5,2018-01-22,544
Sea-act Hooks,52.5,2018-01-23,545
Sea-act Hooks,57.5,2018-01-25,546
Cod-ing in Python,59.5,2018-01-27,547
Cod-ing in Python,58.0,2018-01-28,548
Sea-act Hooks,52.5,2018-02-02,549
Cod-ing in Python,60.99,2018-02-03,550
Sea-act Hooks,55.49,2018-02-04,551
Cod-ing in Python,61.5,2018-02-08,552
Sea-act Hooks,57.5,2018-02-09,553
Sea-act Hooks,53.49,2018-02-10,554
Sea-act Hooks,53.0,2018-02-12,555
Cod-ing in Python,57.0,2018-02-13,556
Sea-act Hooks,55.0,2018-02-20,557
Sea-act Hooks,54.49,2018-02-23,558
Cod-ing in Python,57.49,2018-02-25,559
Sea-act Hooks,56.5,2018-03-02,560
Sea-act Hooks,55.99,2018-03-04,561
Sea-act Hooks,51.76,2018-03-04,562
Sea-act Hooks,51.99,2018-03-06,563
Sea-act Hooks,52.98,2018-03-07,564
Sea-act Hooks,56.5,2018-03-07,565
Sea-act Hooks,55.49,2018-03-09,566
Sea-act Hooks,55.03,2018-03-10,567
Sea-act Hooks,56.99,2018-03-11,568
Sea-act Hooks,55.5,2018-03-12,569
Sea-act Hooks,57.5,2018-03-14,570
Sea-act Hooks,55.0,2018-03-14,571
Sea-act Hooks,56.88,2018-03-18,572
Sea-act Hooks,53.5,2018-03-18,573
Sea-act Hooks,57.0,2018-03-22,574
Sea-act Hooks,51.5,2018-03-23,575
Sea-act Hooks,53.99,2018-03-25,576
Sea-act Hooks,56.0,2018-03-29,577
Sea-act Hooks,56.07,2018-03-30,578
Sea-act Hooks,54.5,2018-03-31,579
Cod-ing in Python,59.49,2018-04-03,580
Sea-act Hooks,57.5,2018-04-08,581
Sea-act Hooks,55.0,2018-04-08,582
Sea-act Hooks,54.99,2018-04-09,583
Sea-act Hooks,53.0,2018-04-09,584
Sea-act Hooks,53.06,2018-04-10,585
An Ag-isle Primer,21.99,2018-04-12,586
Sea-act Hooks,52.49,2018-04-14,587
Sea-act Hooks,56.49,2018-04-15,588
Cod-ing in Python,59.89,2018-04-18,589
Sea-act Hooks,54.0,2018-04-20,590
Sea-act Hooks,51.49,2018-04-21,591
Cod-ing in Python,60.99,2018-04-23,592
Sea-act Hooks,51.0,2018-04-28,593
Sea-act Hooks,56.6,2018-04-28,594
Cod-ing in Python,58.21,2018-04-28,595
Cod-ing in Python,57.99,2018-04-28,596
Cod-ing in Python,58.5,2018-04-28,597
Sea-act Hooks,61.5,2018-05-02,598
Sea-act Hooks,54.49,2018-05-03,599
Sea-act Hooks,55.0,2018-05-05,600
Sea-act Hooks,57.49,2018-05-06,601
Cod-ing in Python,56.0,2018-05-08,602
Sea-act Hooks,50.99,2018-05-10,603
Cod-ing in Python,61.15,2018-05-15,604
